image,description
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Black/old_lightbulb_1237.png,A white light bulb sitting on top of a white table.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Black/gum_foil_773.png,A piece of silver foil on a white surface.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Black/front_of_clean_plastic_candy_bag_717.png,A bag of food sitting on top of a counter.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Black/small_plastic_lid_2043.png,A plastic cup lid sitting on top of a counter.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Black/pen_1305.png,A black pen sitting on top of a white surface.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Black/clean_plastic_fork_281.png,A black fork sitting on top of a piece of paper.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Black/pop_bottle_caps_1797.png,A pile of bottle caps with different brands on them.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Black/dental_flosser_plastic_bag_392.png,A package of dental flossers sitting on top of a counter.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Black/Dirty_Ketchup_Bowl_447.png,A small bowl of mustard sitting on top of a wooden table.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Black/empty_chips_bag_568.png,A bag of Lay's ketchup chips sitting on top of a table.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Black/plastic_coffee_cup_lid_1677.png,A white paper cup with a brown lid on a white surface.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Black/non_stretchy_seaweed_bag_1196.png,A package of seaweed sitting on top of a table.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Black/plastic_spoon_1540.png,A bunch of white spoons sitting on top of a blue cloth.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Black/small_snack_wrapper_2070.png,A piece of paper that is laying on the ground.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Black/silica_gel_pack_1999.png,A label on a piece of paper that says silica gel.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Black/plastic_cutlery_1395.png,a white knife on a red background
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Black/plastic_used_toothbrush_1767.png,A pink toothbrush sitting on top of a counter.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Black/pop_bottle_caps_1835.png,A bunch of bottle caps that are sitting on a table.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Black/popcorn_bag_1869.png,A bag of flour sitting on top of a wooden floor.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Black/toothpaste_tube_2273.png,A tube of Crest 3D White Luxe toothpaste on a white surface.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Black/chip_bag_194.png,A bag of Lay's ketchup sitting on top of a table.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Black/tube_body_lotion_2310.png,giorgio armani acqua di gioia body lotion
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Black/blister_packaging_102.png,A blister pack of blue and white pills on a white background.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Black/used_mask_2412.png,A face mask sitting on top of a wooden table.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Black/expired_cheese_618.png,A bag of cheese sitting on top of a counter.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Black/plastic_popsicle_packaging_1740.png,A bar of wetona sitting on top of a counter.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Black/pen_1308.png,A pen sitting on top of a white surface.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Black/steel_barbican_cap_2142.png,A blue button sitting on top of a wooden floor.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Black/plastic_fork_1448.png,A fork on a white background with a shadow.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Black/used_gift_card_2402.png,A credit card with a variety of fruits and vegetables on it.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Black/coffee plastic lid_23.png,A white paper cup sitting on top of a counter.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Black/foam_plate_687.png,a white paper plate on a white background
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Black/foam_plate_663.png,a white plate with three compartments on a white background
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Black/pop_bottle_caps_1855.png,bottle caps - stock image
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Black/styrofoam_egg_carton_2174.png,A box of eggs sitting on top of a wooden table.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Black/old_light_bulbs_min_1238.png,A white light bulb sitting on top of a table.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Black/toothpaste_tube_2287.png,A tube of toothpaste sitting on a concrete surface.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Black/old_used_toothbrush_1262.png,A toothbrush sitting on top of a counter top.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Black/bulb_145.png,A white light bulb on a white background. 
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Black/electronic_teeth_whitener_558.png,A white Crest toothpaste dispenser sitting on a wooden table.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Black/babybel_wax_45.png,a close up of a red and white egg on a white background
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Black/hand_gloves_790.png,A pair of black gloves sitting on top of a wooden floor.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Black/amazon_packing_tape_16.png,A crumpled piece of paper sitting on top of a table.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Black/plastic_plates_1505.png,A clear plastic plate on a gray surface.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Black/kitchen_sponge_1060.png,A yellow and green sponge on a white surface.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Black/plastic_spoon_1554.png,three colorful plastic spoons on a white background - stock image
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Black/snack_wrapper_2110.png,A bar of candy sitting on top of a wooden table.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Black/non-stretchy plastic and foil bag.png,A piece of foil sitting on top of a wooden table.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Black/tube_body_lotion_2321.png,A tube of body lotion on a white background.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Black/mask_1108.png,a close up of a surgical mask on a table
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Black/amazon_bubble_plastic_bag_15.png,A brown paper bag sitting on top of a wooden floor.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Black/plastic_plates_1488.png,A gold plate with a rope edge on a white background.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Black/glass_beverage_bottle_741.png,a green glass vase sitting on top of a white table
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Black/empty_plastic_tofu_wrapper__595.png,A package of tofu sitting on top of a counter.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Black/dishwasher_soap_500.png,A bar of chocolate sitting on top of a counter.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Black/small_foil_packet_2019.png,A silver foil bag with a barcode on it.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Black/cheddar_cheese_chip_bag_180.png,A bag of chips sitting on top of a table.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Black/toothpaste container_13.png,A tube of toothpaste sitting on top of a wooden table.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Black/cream_cheese_wrapper_382.png,A piece of foil sitting on top of a wooden table.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Black/cigarette_bud_brown_268.png,A cigarette is laying on a black surface.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Black/toothpaste_tube_2265.png,A tube of toothpaste sitting on top of a black sheet.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Black/small_plastic_lid_2045.png,A gold plate on a white surface. 
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Black/non-stretchy plastic bag_13.png,A bag of food sitting on top of a counter.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Black/plastic_granola_wrapper_1710.png,A cell phone sitting on top of a wooden table next to a bar of chocolate.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Black/burnt_matches_150.png,A pair of wooden sticks sitting on top of a table.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Black/old_socks_1247.png,A pair of gray socks sitting on top of a wooden floor.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Black/Empty_Tooth_Paste_Tube_609.png,A tube of Crest complete toothpaste sitting on a counter top.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Black/chip_bag_216.png,A bag of chips sitting on top of a wooden table.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Black/plastic_plates_1492.png,a white plate with a gold rim
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Black/plastic_spoon_1594.png,a set of colorful plastic spoons and forks on a white background
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Black/chocolate_bar_wrapper_229.png,A bar of milk chocolate sitting on top of a counter.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Black/Cookie_Wrapper_345.png,A bag of good day cookies sitting on top of a table.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Black/plastic_bag_1657.png,A red mesh bag sitting on a carpeted floor.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Black/dry_beef_wrapper_554.png,A blue and white tube of toothpaste sitting on top of a table.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Black/dental floss container.png,A blue pill case sitting on top of a wooden table.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Black/chocolate_plastic__253.png,A red candy bar sitting on top of a white cloth.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Black/blister_packaging_98.png,a pack of pills on a white surface
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Black/construction_sealant_material_340.png,A tube of glue sitting on top of a white surface.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Black/straw_wrapper_2153.png,A piece of clear plastic on a black surface.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Black/plastic_spoon_1562.png,A white plastic spoon on a white background.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Black/stand_up_pouch_of_mini_baguettes__2140.png,A package of food sitting on top of a counter.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Black/plastic_foil_nut_wrapper_1689.png,A package of food sitting on top of a wooden table.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Black/stand_up_pouch_of_mini_baguettes_2139.png,A bag of cheese sitting on top of a counter.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Black/dryer_lint_549.png,A small mouse is sitting on a piece of felt.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Black/steel_wool_pad_2145.png,A piece of wire that is laying on a table.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Black/chips_bag_200.png,A bag of chips sitting on top of a paper towel.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Black/clean_plastic_apple_bag_277.png,a close up of a plastic bag with a logo on it
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Black/plastic_spoon_1583.png,A pile of white plastic spoons sitting on top of a table.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Black/plastic_fork_1695.png,A white plastic fork sitting on top of a table.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Black/unusable_tape_min_2359.png,A crumpled piece of paper on a wooden surface.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Black/plastic_spoon_1606.png,a red plastic spoon on a white background royalty illustration
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Black/tube_body_lotion_2336.png,A tube of body lotion sitting on top of a table.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Black/plastic_fork_1428.png,A set of four white plastic forks on a white background.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Black/pop_bottle_caps_1806.png,a bunch of different types of soda bottles on a white background
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Black/plastic_straw_1646.png,A red plastic straw sitting on top of a metal table.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Black/cookieplastic_342.png,a piece of chocolate wrapped in foil on a white surface
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Black/plastic_plates_1490.png,a white plastic bowl on a black background
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Black/instant_noodles_bag_1033.png,A package of chicken instant noodles on a white surface.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Black/plastic_spoon_1534.png,A white spoon on a white background. 
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Black/open baby pouch.png,A pouch of red apples sitting on top of a counter.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Black/coffee_cup_lid_316.png,A white paper cup lid sitting on a wooden table.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Black/non-stretchy plastic_145.png,A piece of clear plastic on a wooden table.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Black/chocolate_wrapper_foil_262.png,A piece of chocolate wrapped in foil on a white surface.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Black/instant_noodles_spice_small_packet_1040.png,A packet of food sitting on top of a plastic bag.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Black/dirty_mop_head_454.png,A yellow mop hanging from the side of a wall.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Black/plastic_apple_bag_1331.png,A plastic bag sitting on top of a kitchen counter.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Black/green_pink_lipstick_769.png,A white tube with a colorful design on it.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Black/toothbrush_2238.png,a toothbrush sitting on top of a white table
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Black/coffee_pods_324.png,A piece of paper sitting on top of a granite counter.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Black/non_stretchy_snack_plastic_wrapper_1199.png,A package of food that is sitting on a table.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Black/cloth_cleaning_306.png,A pair of blue jeans sitting on top of a table.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Black/wipe_box_with_window_2472.png,a close up of a piece of paper on a table
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Black/chips_ahoy_bag_197.png,A package of chocolate chip cookies sitting on top of a white sheet.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Black/empty_chip_bag_570.png,A bag of chips sitting on top of a wooden table.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Black/coffee_powder_multilayer_bag_327.png,A bag of coffee sitting on top of a metal table.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Black/lip_balm_tube_1084.png,A tube of lip balm sitting on a white surface.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Black/dirty_foil_food_wrapper__410.png,a close up of a piece of tin foil on a table
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Black/protein_bar_wrapper__1888.png,A person holding a bar of protein in their hand.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Black/non-stretchy plastic bag.png,A package of food sitting on top of a wooden table.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Black/tube_body_lotion_2344.png,A tube of hand and body lotion with shea butter.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Black/chips_bag_203.png,A bag of potato chips sitting on top of a table.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Black/plast_food_package_1776.png,A blue and purple bag of hand sanitizer sitting on a table.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Black/burnt_match_149.png,A matchstick sticking out of a piece of paper.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Black/pop_bottle_caps_1841.png,A bunch of bottle caps that are on a wall.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Black/pen_1300.png,A blue pen sitting on top of a white table.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Black/bread_tab_128.png,A piece of metal sitting on top of a wooden table.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Black/plastic_plates_1509.png,A red paper plate on a white background.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Black/aluminum_lid_10.png,A metal pan sitting on top of a counter top.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Black/plastic_straw_1648.png,A red plastic straw on a white surface.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Black/plastic_fork_1420.png,colorful plastic forks on a white background
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Black/fil_snack_wrapper_638.png,A piece of foil sitting on top of a table.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Black/shoe_polish_1991.png,A black button sitting on top of a carpet.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Black/chips_bag_204.png,A bag of chips sitting on top of a table.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Black/chocolate_bag_243.png,A package of candy sitting on top of a table.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Black/Toothpaste_tube_2289.png,A tube of toothpaste sitting on top of a counter.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Black/plastic fork.png,A clear plastic fork sitting on top of a table.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Black/dishwasher_pod_bag_498.png,A bag of dishwasher tablets sitting on top of a table.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Black/Aero_bar_wrapper_1.png,A bag of coffee beans sitting on top of a table.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Black/babybel_wax_35.png,babybel candy in a mesh bag on a wooden table
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Black/steel_wool_2144.png,A piece of wire wrapped around a rock on a table.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Black/plastic_bottle_lid_1663.png,A red plastic cap on a white surface.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Black/pop_bottle_caps_1787.png,A bunch of bottle caps that are all different colors.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Black/snack_wrapper_2093.png,A bar of milk chocolate on a white surface.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Black/Dirty_sponge_422.png,A piece of green paper sitting on top of a table.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Black/plastic_fork_1458.png,a fork on a white background
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Black/used_piece_of_cleaning_cloth_2363.png,An orange and white checkered bandage on a white surface.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Black/chip_bag__215.png,A bag of ruffles chips sitting on top of a counter.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Black/dead_marker_390.png,A black and white marker sitting on top of a table.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Black/Styrofoam_food_container_2159.png,a white plastic container with a red logo on it
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Black/used_bandaid_2378.png,A piece of paper with a bandage sticking out of it.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Black/fruit mesh bag.png,A red net bag sitting on a wooden floor.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Black/plastic cutterly.png,"A knife, fork and spoon sitting on a wooden table."
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Black/drink_lid_straw_546.png,A white plastic lid with a straw sticking out of it.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Black/baby pouch_25.png,A package of baby food sitting on top of a counter.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Black/small_plastic_food_packaging_2037.png,A triangle shaped tray sitting on top of a counter.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Black/medicine_blister_1119.png,A pack of red pills sitting on top of a white surface.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Black/pen_1295.png,A blue and white pen sitting on a tiled floor.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Black/chips_bag_199.png,A bag of potato chips sitting on top of a table.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Black/plastic_straws_1641.png,A pair of plastic straws sitting on top of a piece of paper.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Black/dish_brush_501.png,A blue toothbrush sitting on top of a wooden table.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Black/pop_bottle_caps_1838.png,a bunch of bottle caps that are on a white surface
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Black/disposable_mask_526.png,a close up of a black face mask on a white surface
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Black/plastic_cottage_cheese_packaging_1683.png,A bag of cottage cheese sitting on a counter top.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Black/baby pouch.png,A pouch of fruit and vegetables sitting on a table.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Black/rusty_nail_construction_demo_1952.png,A small metal nail on a white surface.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Black/piece_of_broken_glass_1314.png,A clear glass bowl with a gold rim on a white surface.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Black/onion_snack_bag_1264.png,A bag of onion rings sitting on top of a table.
